,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
138,Abdoulaye Diallo,Stade Rennais,Senegal,28,270,0,0,0,0,-,0%,0%,1.3,31.7,0.0,21.7,66%,0.00,0,0.0,0.0,0,0.0,0.0,0,3.3,0,0,0.00,0.00,0%,6.1
139,Habib Diallo,FC Metz,Senegal,25,14,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
140,Lassana Diarra,PSG,France,35,609,0,1,4,0,33%,45%,53%,0.9,90.4,0.9,75.7,92%,0.14,0,4.7,0.1,0,0.0,0.0,6,0.0,0,1,0.00,0.00,0%,6.8
141,Jean-Luc Dompé,Amiens,France,25,28,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.8
142,Luiz Gustavo,Marseille,Brazil,33,3023,5,1,10,1,61%,63%,58%,1.6,72.9,1.5,57.8,90%,0.03,0,1.2,0.5,0,1.7,0.6,14,0.0,0,2,0.15,0.15,36%,7.2
143,Vagner,Saint-Étienne,Cape Verde Islands,24,106,0,0,0,0,-,100%,27%,0.8,47.5,0.0,22.9,67%,0.00,0,2.5,4.3,0,2.5,0.0,0,0.0,0,0,0.00,0.00,0%,5.7
144,Mariano Díaz,Lyon,Dominican Republic,27,2517,18,4,6,0,69%,36%,34%,0.7,30.3,0.1,16.8,72%,0.14,5,1.0,0.2,1,3.5,1.5,14,0.0,0,1,0.65,0.61,42%,6.6
145,Bakaye Dibassy,Amiens,Mali,31,2779,1,1,4,0,75%,41%,53%,4.4,57.7,2.0,33.4,79%,0.04,1,1.2,1.2,0,0.4,0.1,10,0.0,0,1,0.04,0.04,17%,6.7
146,Thomas Didillon,FC Metz,France,24,810,0,0,0,0,-,100%,75%,1.0,36.0,0.0,25.2,57%,0.00,0,0.0,0.0,0,0.0,0.0,2,2.5,0,0,0.00,0.00,0%,6.4
147,Étienne Didot,Guingamp,France,37,1635,2,1,4,0,63%,54%,52%,1.5,69.4,1.2,54.5,81%,0.05,1,0.3,1.6,0,0.7,0.2,5,0.0,0,1,0.11,0.11,31%,6.6
148,Tristan Dingomé,Troyes,Cameroon,29,1195,0,0,4,0,80%,41%,48%,1.2,55.2,1.0,43.4,82%,0.00,2,0.5,1.6,0,0.4,0.1,4,0.0,0,0,0.00,0.00,40%,6.4
149,Ismaël Diomandé,Caen,Côte d’Ivoire,28,711,0,1,1,1,58%,50%,52%,2.7,44.9,0.6,34.4,85%,0.13,1,0.3,0.3,0,0.4,0.0,3,0.0,0,0,0.00,0.00,0%,5.9
150,Loïs Diony,Saint-Étienne,France,27,934,0,0,0,0,-,30%,35%,0.7,28.4,0.1,15.8,67%,0.00,0,0.8,0.7,0,1.5,0.6,4,0.0,0,0,0.00,0.00,38%,5.7
151,Issa Diop,Toulouse,France,23,3060,3,0,8,0,76%,61%,59%,3.8,48.4,2.2,36.4,80%,0.00,1,0.3,0.1,0,0.6,0.2,10,0.0,0,1,0.09,0.09,42%,6.6
