,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
114,Simon Falette,Frankfurt,Guinea,28,90,0,0,0,0,-,80%,75%,5.0,79.0,5.0,61.0,77%,0.00,0,1.0,0.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.9
115,Javairô Dilrosun,Hertha BSC,Netherlands,22,1312,4,2,2,0,60%,19%,52%,0.3,44.7,1.2,24.4,75%,0.14,2,2.5,2.3,0,1.3,0.4,8,0.0,0,1,0.28,0.28,32%,6.2
116,Gelson Fernandes,Frankfurt,Switzerland,34,779,0,0,4,0,62%,39%,43%,0.9,41.2,2.3,30.2,79%,0.00,0,0.1,0.2,0,0.0,0.0,2,0.0,0,0,0.00,0.00,0%,6.2
117,Edimilson Fernandes,Mainz,Switzerland,24,1486,1,0,6,0,65%,47%,44%,2.8,58.9,1.9,41.3,87%,0.00,0,0.8,0.9,0,1.4,0.1,3,0.0,0,0,0.06,0.06,9%,6.4
118,Oliver Fink,Düsseldorf,Germany,38,675,0,1,2,0,59%,55%,54%,0.8,54.7,1.7,35.1,58%,0.14,0,0.8,1.1,0,1.1,0.0,1,0.0,0,0,0.00,0.00,0%,6.1
119,Alfreð Finnbogason,Augsburg,Iceland,31,962,3,1,1,0,54%,36%,36%,0.8,35.0,0.3,21.4,62%,0.09,5,0.5,0.1,1,1.7,0.8,3,0.0,0,0,0.28,0.19,50%,6.0
120,Mark Flekken,Freiburg,Netherlands,27,900,0,0,0,0,-,100%,50%,0.5,49.7,0.1,39.1,68%,0.00,0,0.0,0.0,0,0.0,0.0,3,5.6,0,2,0.00,0.00,0%,7.2
121,Emil Forsberg,RB Leipzig,Sweden,29,1143,5,2,1,0,63%,38%,50%,0.2,55.3,0.4,39.0,81%,0.16,4,1.7,1.9,2,2.1,0.8,4,0.0,0,1,0.40,0.23,37%,6.4
122,Raphael Framberger,Augsburg,Germany,25,1171,0,2,3,0,62%,44%,55%,1.5,54.0,1.7,27.0,57%,0.15,2,0.5,1.7,0,0.1,0.0,5,0.0,0,0,0.00,0.00,0%,6.3
123,Mike Frantz,Freiburg,Germany,34,338,0,1,2,0,50%,47%,43%,1.1,42.9,0.3,28.8,74%,0.27,2,0.0,1.9,0,1.1,0.3,5,0.0,0,0,0.00,0.00,25%,6.0
124,Samúel Friðjónsson,SC Paderborn,Iceland,24,190,0,0,1,0,25%,25%,43%,2.4,64.4,1.9,48.8,80%,0.00,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.1
125,Marco Friedl,W. Bremen,Austria,22,2185,1,3,9,0,71%,49%,56%,2.6,68.7,1.5,42.3,78%,0.13,2,0.5,3.5,0,0.5,0.1,4,0.0,0,0,0.05,0.05,25%,6.4
126,Marvin Friedrich,Union Berlin,Germany,24,2790,2,0,10,0,66%,56%,53%,3.2,52.0,1.4,39.0,76%,0.00,2,0.4,0.2,0,0.9,0.2,7,0.0,0,0,0.06,0.06,18%,6.3
127,Niclas Füllkrug,W. Bremen,Germany,27,401,4,1,2,0,100%,52%,50%,1.4,43.1,0.5,26.5,67%,0.23,1,0.9,0.5,0,3.8,2.5,0,0.0,0,0,0.90,0.90,65%,6.9
128,Mijat Gaćinović,Frankfurt,Serbia,25,1047,0,1,2,0,60%,40%,47%,0.5,48.4,1.3,28.6,71%,0.09,1,1.2,1.1,0,2.1,0.6,5,0.0,0,0,0.00,0.00,28%,6.0
129,Theodor Gebre Selassie,W. Bremen,Czech Republic,33,2429,2,2,2,0,74%,55%,52%,2.7,62.0,2.3,40.5,82%,0.07,1,0.1,1.4,0,0.4,0.1,3,0.0,0,0,0.07,0.07,25%,6.5
130,Dennis Geiger,Hoffenheim,Germany,22,1138,0,3,3,0,46%,30%,35%,0.3,58.9,0.5,43.2,87%,0.23,4,0.5,4.5,0,1.0,0.0,5,0.0,0,1,0.00,0.00,0%,6.3
131,Christian Gentner,Union Berlin,Germany,35,2453,3,2,4,0,53%,54%,52%,1.7,53.2,1.8,37.0,73%,0.07,3,0.6,1.1,0,1.3,0.4,8,0.0,0,1,0.11,0.11,31%,6.5
132,Yannick Gerhardt,Wolfsburg,Germany,26,819,2,0,1,0,64%,50%,56%,0.8,57.8,1.2,40.5,78%,0.00,0,0.6,1.6,0,1.2,0.4,7,0.0,0,0,0.22,0.22,36%,6.4
