,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
130,Marko Dmitrović,Eibar,Serbia,28,3240,0,0,1,0,100%,93%,73%,1.2,37.1,0.1,29.6,46%,0.00,0,0.1,0.0,0,0.0,0.0,10,2.2,0,0,0.00,0.00,0%,6.3
131,Jaume Doménech,Valencia,Spain,30,450,0,0,2,0,-,100%,100%,1.2,33.4,0.0,21.8,68%,0.00,0,0.0,0.0,0,0.0,0.0,2,3.2,0,0,0.00,0.00,0%,6.8
132,Tana,Las Palmas,Spain,30,1552,1,1,2,0,78%,9%,44%,0.2,63.0,1.3,44.7,87%,0.05,1,1.1,3.0,0,0.8,0.3,4,0.0,0,0,0.05,0.05,43%,6.4
133,Mauro Dos Santos,Leganés,Argentina,31,980,0,0,3,0,88%,62%,57%,4.8,38.4,1.1,28.3,76%,0.00,0,0.1,0.3,0,0.1,0.1,8,0.0,0,0,0.00,0.00,100%,6.3
134,Cristiano Ronaldo,Real Madrid,Portugal,35,2298,26,5,1,0,56%,54%,48%,0.6,46.0,0.2,28.7,82%,0.20,8,1.2,1.3,3,7.0,3.0,7,0.0,0,4,1.02,0.90,43%,7.5
135,Guilherme,Deportivo,Brazil,29,2645,0,0,11,0,71%,52%,54%,2.0,63.3,1.6,47.9,85%,0.00,2,0.9,0.9,0,1.4,0.1,6,0.0,0,2,0.00,0.00,5%,6.7
136,Cheick Doukouré,Levante,Côte d’Ivoire,28,1021,1,0,4,0,56%,43%,41%,0.3,40.7,1.2,27.7,83%,0.00,0,0.1,0.3,0,1.7,0.1,4,0.0,0,0,0.09,0.09,5%,6.1
137,Óscar Duarte,Espanyol,Costa Rica,31,990,0,0,1,0,75%,69%,63%,5.2,53.3,0.8,43.7,79%,0.00,0,0.1,0.1,0,0.3,0.0,4,0.0,0,0,0.00,0.00,0%,6.3
138,Rubén Duarte,Alavés,Spain,25,2141,0,2,9,0,53%,54%,57%,2.9,55.9,1.9,27.5,70%,0.08,3,0.4,2.3,0,0.3,0.0,10,0.0,0,1,0.00,0.00,0%,6.3
139,Riza Durmisi,Real Betis,Denmark,26,2080,2,3,4,0,54%,26%,53%,2.0,56.6,0.7,35.7,85%,0.13,4,0.3,2.9,0,0.8,0.3,5,0.0,0,0,0.09,0.09,33%,6.2
140,Hugo Duro,Getafe,Spain,21,17,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
141,Munir El Haddadi,Alavés,Spain,25,2456,10,6,7,0,79%,39%,49%,0.2,44.5,0.3,23.0,71%,0.22,6,1.0,3.0,0,2.3,0.8,11,0.0,0,2,0.37,0.37,37%,6.5
142,Hacen El Id,Levante,Mauritania,22,81,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,5.9
143,Nabil El Zhar,Leganés,Morocco,34,1980,2,2,2,0,54%,31%,41%,0.1,45.0,0.8,25.7,79%,0.09,2,2.2,3.2,0,2.0,0.6,12,0.0,0,0,0.09,0.09,31%,6.1
144,Aritz Elustondo,Real Sociedad,Spain,26,1598,3,2,1,0,63%,59%,56%,4.6,72.0,2.5,53.5,86%,0.12,1,0.2,0.5,0,0.6,0.3,8,0.0,0,1,0.17,0.17,45%,7.0
145,Rodrigo Ely,Alavés,Brazil,27,2692,1,0,11,0,56%,69%,64%,6.0,47.9,1.7,34.3,73%,0.00,1,0.1,0.0,0,0.6,0.1,10,0.0,0,0,0.04,0.04,22%,6.4
146,Youssef En-Nesyri,Málaga,Morocco,23,1591,4,0,2,0,80%,41%,40%,1.8,39.3,0.5,18.1,58%,0.00,1,1.0,1.1,0,2.7,0.8,5,0.0,0,0,0.23,0.23,29%,6.1
147,Sergi Enrich,Eibar,Spain,30,1331,3,1,2,0,72%,43%,44%,0.5,43.0,0.4,28.4,68%,0.07,2,0.3,0.3,0,2.2,0.8,5,0.0,0,0,0.21,0.21,34%,6.2
148,Javier Eraso,Leganés,Spain,30,2541,4,3,4,0,47%,21%,31%,0.4,42.0,0.8,27.9,76%,0.11,4,0.3,2.8,0,1.1,0.5,14,0.0,0,0,0.14,0.14,41%,6.0
149,Gonzalo Escalante,Eibar,Argentina,27,1560,1,0,3,0,59%,55%,57%,1.0,54.3,1.9,37.9,74%,0.00,2,0.9,0.6,0,1.4,0.3,9,0.0,0,0,0.05,0.05,20%,6.5
150,Sergio Escudero,Sevilla FC,Spain,31,2332,0,2,10,0,63%,60%,61%,2.1,79.7,2.6,51.1,81%,0.08,1,1.0,1.6,0,0.7,0.1,10,0.0,0,1,0.00,0.00,21%,6.8
151,Bernardo Espinosa,Girona,Colombia,31,2868,0,3,7,0,61%,65%,58%,5.3,49.0,2.1,36.7,82%,0.09,2,0.1,0.0,0,0.8,0.1,10,0.0,0,1,0.00,0.00,15%,6.5
152,Oghenekaro Etebo,Las Palmas,Nigeria,25,1216,0,1,3,0,71%,50%,56%,0.6,64.7,2.0,46.5,85%,0.07,0,1.9,0.3,0,1.5,0.2,3,0.0,0,0,0.00,0.00,15%,6.7
153,Beñat,Athletic,Spain,33,1115,0,2,3,0,71%,55%,45%,0.9,78.7,2.3,58.7,84%,0.16,2,0.5,6.4,0,1.1,0.2,7,0.0,0,1,0.00,0.00,23%,6.5
154,Xabier Etxeita,Athletic,Spain,33,378,1,0,2,0,100%,37%,31%,6.0,50.6,1.7,38.4,84%,0.00,0,0.0,0.0,0,0.9,0.2,2,0.0,0,0,0.24,0.24,25%,6.6
155,Erik Expósito,Las Palmas,Spain,24,462,1,0,0,0,100%,44%,35%,1.0,33.3,0.2,17.3,64%,0.00,0,1.0,0.6,0,1.8,0.4,0,0.0,0,0,0.20,0.20,22%,5.8
156,Edu Expósito,Deportivo,Spain,24,93,0,0,1,0,-,0%,37%,1.9,59.4,1.9,49.8,87%,0.00,0,0.9,0.0,0,0.0,0.0,1,0.0,0,0,0.00,0.00,0%,5.9
157,Imoh Ezekiel,Las Palmas,Nigeria,27,468,0,0,0,0,75%,18%,40%,0.4,38.5,0.4,21.1,84%,0.00,0,1.4,2.1,0,1.4,0.6,1,0.0,0,0,0.00,0.00,43%,5.9
158,Fayçal Fajr,Getafe,Morocco,32,2384,1,4,7,0,73%,48%,48%,1.5,52.4,1.1,35.2,75%,0.15,3,0.7,4.6,0,0.8,0.4,12,0.0,0,0,0.04,0.04,45%,6.5
159,Zouhair Feddal,Real Betis,Morocco,31,1257,3,0,7,0,63%,62%,60%,6.6,75.0,2.6,58.1,81%,0.00,0,0.2,0.2,0,0.4,0.2,2,0.0,0,0,0.22,0.22,50%,6.5
160,Augusto Fernández,Atletico Madrid,Argentina,34,104,0,0,1,0,67%,50%,57%,1.7,80.5,1.7,61.4,82%,0.00,0,1.7,0.0,0,0.9,0.0,3,0.0,0,0,0.00,0.00,0%,6.2
161,Gabi,Atletico Madrid,Spain,37,2346,0,1,8,0,61%,51%,45%,1.4,80.0,1.7,66.0,85%,0.04,1,0.4,1.7,0,0.4,0.0,20,0.0,0,1,0.00,0.00,10%,6.9
162,Nacho Fernandez,Real Madrid,Spain,30,2071,3,0,7,0,73%,58%,59%,2.1,63.2,2.0,48.2,91%,0.00,0,0.3,1.0,0,0.4,0.2,9,0.0,0,1,0.13,0.13,44%,6.9
163,Carlos Fernández,Sevilla FC,Spain,24,139,1,0,0,0,50%,40%,33%,0.0,33.0,0.0,23.3,78%,0.00,0,0.0,0.0,0,3.2,1.3,1,0.0,0,0,0.65,0.65,40%,6.4
164,Andrés Fernández,Villarreal,Spain,33,226,0,0,0,0,-,100%,100%,2.4,34.8,0.0,24.0,58%,0.00,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0.00,0.00,0%,6.3
165,Raúl Fernández,Levante,Spain,32,990,0,0,0,0,-,100%,100%,1.2,35.5,0.0,26.4,49%,0.00,0,0.0,0.0,0,0.0,0.0,3,3.5,0,1,0.00,0.00,0%,6.7
166,Yannick Carrasco,Atletico Madrid,Belgium,27,897,3,4,3,0,77%,0%,44%,0.1,54.2,0.4,29.2,80%,0.40,4,3.5,2.4,0,2.6,0.9,11,0.0,0,0,0.30,0.30,35%,6.6
167,Momo,Las Palmas,Spain,38,675,0,1,3,0,57%,33%,57%,0.1,65.4,0.7,47.7,83%,0.14,2,0.9,4.5,0,0.8,0.1,0,0.0,0,0,0.00,0.00,17%,6.1
168,Júnior Firpo,Real Betis,Spain,24,1190,2,2,4,0,66%,54%,56%,2.0,63.7,1.5,42.6,84%,0.15,3,0.6,1.0,0,1.0,0.3,9,0.0,0,0,0.15,0.15,31%,6.8
169,Mathieu Flamini,Getafe,France,36,482,0,0,2,0,46%,70%,51%,1.5,34.8,1.5,26.8,68%,0.00,0,0.2,0.6,0,0.2,0.2,3,0.0,0,0,0.00,0.00,100%,5.9
170,Fontàs,Celta,Spain,30,884,0,1,2,0,70%,42%,41%,3.0,82.3,1.4,73.4,88%,0.10,0,0.0,0.0,0,0.1,0.0,3,0.0,0,1,0.00,0.00,0%,6.5
171,Pablo Fornals,Villarreal,Spain,24,2623,3,12,4,0,63%,45%,44%,0.5,60.6,0.8,45.5,78%,0.41,16,0.9,1.0,0,1.8,0.5,11,0.0,0,2,0.10,0.10,27%,6.8
172,Burgui,Alavés,Spain,27,1034,1,0,1,0,49%,27%,51%,0.1,44.7,0.6,29.3,76%,0.00,3,1.8,1.2,0,1.3,0.3,6,0.0,0,0,0.09,0.09,27%,5.9
173,Javi Fuego,Villarreal,Spain,36,1882,0,0,8,0,71%,53%,54%,1.6,55.0,1.1,43.3,79%,0.00,0,0.2,0.1,0,0.3,0.1,7,0.0,0,0,0.00,0.00,29%,6.3
174,Nicolás Gaitán,Atletico Madrid,Argentina,32,215,0,0,0,0,67%,36%,50%,1.3,58.3,0.4,38.8,78%,0.00,0,0.8,3.8,0,2.5,1.3,3,0.0,0,0,0.00,0.00,50%,6.1
175,Alex Galvez,Las Palmas,Spain,31,1980,1,0,6,1,66%,61%,58%,4.1,67.4,2.5,52.2,80%,0.00,0,0.5,0.1,0,0.8,0.2,4,0.0,0,2,0.05,0.05,28%,6.5
176,Kevin Gameiro,Atletico Madrid,France,33,1119,7,2,0,0,82%,24%,35%,0.3,30.7,0.3,18.5,78%,0.16,3,0.7,0.2,2,1.6,1.1,16,0.0,0,0,0.57,0.41,70%,6.2
177,Gonçalo Guedes,Valencia,Portugal,23,2442,5,9,2,0,69%,43%,53%,0.2,55.1,0.6,32.9,79%,0.33,11,3.0,1.9,0,2.3,0.8,11,0.0,0,2,0.18,0.18,36%,6.8
178,Ezequiel Garay,Valencia,Argentina,34,2030,0,0,5,0,66%,64%,61%,6.0,59.6,1.1,48.5,86%,0.00,1,0.0,0.1,0,0.3,0.1,7,0.0,0,0,0.00,0.00,17%,6.5
179,Toño García,Levante,Spain,31,1080,0,1,2,0,92%,25%,59%,2.0,60.3,0.5,35.5,78%,0.08,3,2.0,3.6,0,0.2,0.1,4,0.0,0,0,0.00,0.00,50%,6.3
180,Raúl Carnero,Leganés,Spain,31,1388,0,2,1,0,73%,45%,59%,2.7,57.3,1.2,30.9,70%,0.13,2,0.7,4.8,0,0.5,0.1,6,0.0,0,0,0.00,0.00,14%,6.4
181,Dani García,Eibar,Spain,30,2781,0,1,14,0,74%,62%,53%,0.8,63.7,2.3,52.2,81%,0.04,2,0.3,0.4,0,0.7,0.0,10,0.0,0,2,0.00,0.00,5%,6.8
182,Sergio García,Espanyol,Spain,37,1626,2,6,4,0,81%,33%,39%,0.6,41.6,0.6,23.6,73%,0.33,7,1.2,1.1,0,2.1,0.9,12,0.0,0,1,0.11,0.11,44%,6.1
183,Recio,Málaga,Spain,29,1841,1,2,10,0,78%,49%,49%,0.8,64.6,1.5,46.6,83%,0.10,2,0.8,3.3,1,1.3,0.2,4,0.0,0,1,0.05,0.00,15%,6.7
184,Raúl García,Athletic,Spain,34,2636,10,1,10,0,62%,58%,53%,0.7,47.8,1.0,28.9,58%,0.04,6,0.4,1.4,3,2.7,1.2,10,0.0,0,1,0.34,0.24,43%,6.5
185,Javi García,Real Betis,Spain,33,2410,1,0,7,0,65%,60%,53%,2.8,73.3,1.0,62.5,92%,0.00,1,0.5,0.0,0,0.4,0.0,11,0.0,0,0,0.04,0.04,9%,6.7
186,Borja García,Girona,Spain,30,2814,2,5,2,0,46%,34%,54%,0.4,61.4,1.0,42.1,86%,0.16,6,1.3,3.0,0,1.6,0.3,11,0.0,0,0,0.06,0.06,20%,6.6
187,Kike García,Eibar,Spain,30,2464,8,1,5,0,57%,44%,45%,0.5,41.3,0.4,25.1,72%,0.04,0,0.5,0.6,0,2.6,1.0,10,0.0,0,3,0.29,0.29,38%,6.4
188,Naranjo,Leganés,Spain,26,558,1,0,2,0,59%,44%,39%,0.3,42.1,0.5,22.6,77%,0.00,0,1.0,2.4,0,1.4,0.5,3,0.0,0,0,0.16,0.16,33%,5.8
189,Samu García,Málaga,Spain,30,358,0,1,2,1,77%,31%,36%,1.3,49.5,1.8,25.5,66%,0.25,0,0.5,3.0,0,1.0,0.3,5,0.0,0,0,0.00,0.00,25%,5.7
190,Manu,Alavés,Spain,34,2438,3,0,9,0,68%,57%,54%,2.4,53.8,1.3,36.3,73%,0.00,1,0.7,0.4,0,1.0,0.3,11,0.0,0,3,0.11,0.11,31%,6.7
191,David García,Las Palmas,Spain,38,858,1,0,2,0,62%,63%,68%,3.3,61.8,2.0,48.1,81%,0.00,0,0.5,0.3,0,0.5,0.3,0,0.0,0,0,0.11,0.11,60%,6.0
